iter	Passed	Remaining
400	26494	39577
401	26559	39508
402	26623	39440
403	26691	39376
404	26757	39310
405	26826	39249
406	26894	39185
407	26960	39118
408	27027	39054
409	27107	39007
410	27175	38944
411	27238	38874
412	27304	38808
413	27370	38742
414	27439	38679
415	27502	38608
416	27566	38540
417	27632	38474
418	27700	38409
419	27766	38344
420	27835	38281
421	27902	38217
422	27968	38151
423	28035	38086
424	28097	38014
425	28174	37963
426	28244	37901
427	28312	37838
428	28380	37774
429	28445	37706
430	28512	37641
431	28578	37575
432	28643	37507
433	28707	37439
434	28773	37372
435	28841	37309
436	28911	37246
437	28976	37179
438	29038	37108
439	29101	37038
440	29169	36974
441	29245	36920
442	29312	36856
443	29379	36790
444	29447	36726
445	29514	36662
446	29582	36598
447	29647	36530
448	29714	36464
449	29789	36409
450	29856	36343
451	29922	36277
452	29988	36211
453	30054	36144
454	30118	36075
455	30182	36006
456	30248	35940
457	30322	35884
458	30389	35818
459	30458	35755
460	30522	35686
461	30587	35619
462	30654	35553
463	30719	35486
464	30788	35422
465	30855	35358
466	30922	35292
467	30985	35223
468	31051	35156
469	31116	35089
470	31182	35021
471	31247	34954
472	31311	34886
473	31387	34831
474	31455	34766
475	31518	34696
476	31579	34625
477	31644	34557
478	31709	34489
479	31788	34437
480	31853	34370
481	31917	34301
482	31978	34229
483	32043	34161
484	32108	34094
485	32166	34019
486	32231	33952
487	32295	33883
488	32359	33815
489	32435	33759
490	32504	33696
491	32568	33628
492	32635	33562
493	32701	33496
494	32767	33429
495	32833	33362
496	32900	33297
497	32960	33225
498	33026	33158
499	33088	33088
500	33151	33018
501	33238	32973
502	33328	32931
503	33394	32864
504	33460	32798
505	33544	32748
506	33609	32681
507	33675	32614
508	33737	32544
509	33805	32479
510	33868	32410
511	33933	32343
512	33999	32276
513	34061	32206
514	34126	32138
515	34191	32070
516	34255	32002
517	34321	31935
518	34387	31869
519	34452	31802
520	34521	31738
521	34599	31682
522	34664	31615
523	34732	31550
524	34800	31486
525	34867	31420
526	34935	31355
527	35003	31290
528	35070	31225
529	35134	31156
530	35195	31086
531	35252	31011
532	35317	30944
533	35384	30878
534	35449	30811
535	35514	30744
536	35592	30687
537	35668	30629
538	35734	30562
539	35801	30497
540	35867	30430
541	35933	30364
542	35999	30298
543	36062	30229
544	36138	30170
545	36205	30105
546	36272	30039
547	36339	29973
548	36405	29907
549	36471	29840
550	36526	29764
551	36598	29703
552	36683	29651
553	36767	29599
554	36836	29535
555	36902	29468
556	36966	29400
557	37030	29332
558	37094	29264
559	37160	29197
560	37225	29130
561	37291	29063
562	37354	28994
563	37420	28928
564	37484	28859
565	37550	28792
566	37617	28727
567	37680	28658
568	37759	28601
569	37828	28537
570	37887	28465
571	37951	28397
572	38018	28331
573	38083	28264
574	38149	28197
575	38212	28128
576	38277	28060
577	38343	27994
578	38408	27927
579	38476	27861
580	38544	27797
581	38607	27728
582	38674	27662
583	38744	27598
584	38814	27534
585	38884	27471
586	38950	27404
587	39009	27333
588	39072	27264
589	39137	27197
590	39203	27130
591	39269	27064
592	39335	26997
593	39401	26930
594	39464	26862
595	39532	26797
596	39595	26728
597	39661	26661
598	39727	26595
599	39792	26528
600	39871	26470
601	39937	26403
602	40004	26337
603	40071	26271
604	40135	26204
605	40199	26136
606	40263	26068
607	40326	25999
608	40394	25934
609	40462	25869
610	40529	25803
611	40592	25735
612	40659	25669
613	40727	25603
614	40795	25538
615	40859	25471
616	40936	25411
617	41002	25344
618	41069	25278
619	41134	25211
620	41199	25144
621	41260	25074
622	41319	25003
623	41383	24936
624	41447	24868
625	41515	24803
626	41579	24735
627	41644	24668
628	41711	24602
629	41777	24536
630	41842	24468
631	41905	24400
632	41977	24337
633	42049	24274
634	42113	24206
635	42178	24139
636	42241	24071
637	42304	24003
638	42369	23936
639	42436	23870
640	42504	23805
641	42570	23738
642	42637	23672
643	42706	23608
644	42772	23541
645	42838	23475
646	42905	23409
647	42969	23341
648	43045	23280
649	43113	23215
650	43180	23148
651	43248	23083
652	43344	23032
653	43423	22973
654	43488	22906
655	43554	22839
656	43618	22771
657	43685	22705
658	43750	22638
659	43813	22570
660	43878	22503
661	43933	22431
662	43999	22364
663	44063	22297
664	44143	22237
665	44206	22169
666	44273	22103
667	44339	22037
668	44404	21969
669	44466	21901
670	44532	21834
671	44597	21767
672	44652	21696
673	44721	21630
674	44788	21564
675	44853	21497
676	44919	21431
677	44983	21363
678	45046	21296
679	45112	21229
680	45186	21166
681	45254	21101
682	45319	21034
683	45384	20967
684	45451	20900
685	45516	20834
686	45581	20767
687	45648	20700
688	45718	20636
689	45783	20569
690	45848	20502
691	45913	20435
692	45978	20368
693	46044	20302
694	46108	20234
695	46176	20168
696	46248	20104
697	46318	20040
698	46383	19973
699	46445	19905
700	46510	19838
