iter	Logloss
0	0.6576549211
1	0.6307061436
2	0.6082868944
3	0.5902115262
4	0.5750426496
5	0.5625606632
6	0.5531385246
7	0.5439886663
8	0.5368002841
9	0.5315760308
10	0.5265391646
11	0.5231640068
12	0.5194582295
13	0.5158658013
14	0.5134603178
15	0.5114625415
16	0.5091448769
17	0.5069495548
18	0.5051783857
19	0.5041430395
20	0.502852379
21	0.5017832653
22	0.5008904225
23	0.4997362759
24	0.4988454492
25	0.4980349662
26	0.4971577814
27	0.4963032128
28	0.4954579867
29	0.4949394388
30	0.4943951908
31	0.4937948058
32	0.4933814186
33	0.4929750364
34	0.492232012
35	0.4918418658
36	0.4915792456
37	0.4912320547
38	0.4907876592
39	0.4904031944
40	0.490060985
41	0.4896781681
42	0.4894779134
43	0.4891117924
44	0.4888499579
45	0.4885009832
46	0.4882269334
47	0.4881192288
48	0.4877487525
49	0.487507315
50	0.4873536881
51	0.4871842949
52	0.4867994591
53	0.4865387347
54	0.4863309873
55	0.485860108
56	0.4856228508
57	0.48545474
58	0.485256944
59	0.4849755623
60	0.484867288
61	0.4846288217
62	0.4844626174
63	0.4842705702
64	0.4838816502
65	0.4836678772
66	0.4835078993
67	0.4833351312
68	0.4831698604
69	0.4830483146
70	0.4828623456
71	0.4827277789
72	0.4826474495
73	0.4824996185
74	0.4822852069
75	0.482173951
76	0.481988413
77	0.481759255
78	0.4815751934
79	0.4813656187
80	0.4811102674
81	0.4808656133
82	0.4806143436
83	0.4804851697
84	0.4804348139
85	0.480326463
86	0.480119504
87	0.4799396048
88	0.4797695759
89	0.4795690659
90	0.4794679803
91	0.4793261388
92	0.4791116691
93	0.478954241
94	0.4789045096
95	0.4788116143
96	0.4787000046
97	0.4785613305
98	0.4783699648
99	0.4782331565
100	0.4780967287
101	0.4780405432
102	0.4779623408
103	0.4778580238
104	0.477710513
105	0.4775938961
106	0.4774836351
107	0.4773635457
108	0.4772570168
109	0.4771848117
110	0.4770829228
111	0.4770013392
112	0.4769397841
113	0.4768698243
114	0.476778048
115	0.4767105738
116	0.4766448129
117	0.4765323996
118	0.4764595894
119	0.4763824334
120	0.4762914655
121	0.4761437661
122	0.4759226394
123	0.4757007555
124	0.475651344
125	0.4755445875
126	0.4754507417
127	0.4753294336
128	0.4752283883
129	0.4751338003
130	0.4750765791
131	0.4750454093
132	0.4749299877
133	0.4747223606
134	0.4746324924
135	0.4744785702
136	0.4744116035
137	0.4742642664
138	0.47410869
139	0.473975929
140	0.4738945732
141	0.4737968182
142	0.4737011054
143	0.4736380649
144	0.4735645509
145	0.4734651551
